idNodo,etiqueta,tipoNodo,granoTexto,idAutoridad,fuente,capítulo,ubicación,nota
PER0031,"Schlieben, condesa de",persona,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,cuestionario: no consta
PER0032,"López Housselle, María",persona,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,cuestionario: no consta
PER0033,"Schmidt, Auguste, 1833-1902",persona,[no aplica],https://www.wikidata.org/wiki/Q89677,Mujeres de ayer y de hoy (1909),VIII,871-1127,cuestionario: no aplica
PER0034,"Wachsmuts, señora",persona,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,cuestionario: no aplica
ORG0003,Allgemeine Deutsche Lehrerinnenverein,organización,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,
ORG0004,Bund Deutscher Frauenvereine,organización,[no aplica],https://www.wikidata.org/wiki/Q1005015,Mujeres de ayer y de hoy (1909),VIII,871-1127,
ORG0005,Berliner Frauenverein,organización,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,
ORG0006,Verein Frauenwohl,organización,[no aplica],https://www.wikidata.org/wiki/Q2514713,Mujeres de ayer y de hoy (1909),VIII,871-1127,
ORG0007,Gesellschaft für ethische Kultur,organización,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,
ORG0008,Mädchen und Frauengruppen für Soziale Hilfsarbeit,organización,[no aplica],https://www.wikidata.org/wiki/Q1630675,Mujeres de ayer y de hoy (1909),VIII,871-1127,
ORG0009,Deutscher Verein für Frauenstimmrecht,organización,[no aplica],https://www.wikidata.org/wiki/Q1205427,Mujeres de ayer y de hoy (1909),VIII,871-1127,
ORG0010,Schriftstellerinnenbund,organización,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,
ORG0011,Neuer Volksschullehrerinnen-Verein,organización,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,
ORG0012,Kaufmännischer Hilfsverein für weibliche Angestellte,organización,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,
ORG0013,Volksküchen,organización,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,
PUB0001,Die Frau,publicación,[no aplica],https://www.wikidata.org/wiki/Q1212548,Mujeres de ayer y de hoy (1909),VIII,871-1127,
PUB0002,Die Frauenbewegung,publicación,[no aplica],https://www.wikidata.org/wiki/Q1212727,Mujeres de ayer y de hoy (1909),VIII,871-1127,
PUB0003,Deutsche Hausfrauen-Zeitung,publicación,[no aplica],https://www.wikidata.org/wiki/Q88568495,Mujeres de ayer y de hoy (1909),VIII,871-1127,
PUB0004,Sonntagsblatt,publicación,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,
INS0001,"Cuestionario de siete preguntas (Berlín, 1902)",instrumento,[no aplica],[pendiente],Mujeres de ayer y de hoy (1909),VIII,871-1127,
